,shop_comment
990,"味道很好闻~淡淡的茉莉香味，而且面霜吸收超快，很清爽但是保湿效果超好！。补水的同时还可以提亮肤色。...,保湿效果很好啊，质地比较水润，很适合秋季皮肤干燥的适合使用啊，补水的同时还可以提亮肤色。...,用了感觉不错...,推荐给大家...,挺好的...,灰常好...,就用这个一直都是...,大家好才是真的好...,我相信口碑...,向大家推荐一款平价又好用的欧诗顿OSTOWN茉莉赋活新生精华乳，性价比很高，效果绝对可以媲美大牌。..."
991,"请问在深圳哪里可以购买到帕丽斯·希尔顿香水？请问在深圳哪里可以购买到帕丽斯·希尔顿香水？...,用起来还行...,持续时间很长，很耐用。...,三年前开始使用，气味清新，香而不腻，味道非常有质感，特别适合活泼，清爽，有格调的女孩子，开始喷上去味道会有一些浓，大概过半个小时，味道就非常适中了，香味持久度还可以了，一般上班前喷两下，下班的时候还有...,粉色的瓶子看着心情不错，关键是它留香持久，这一点要赞一下...,非常喜欢的味道低调、温暖、干净，不同于一般香水，觉得人本身的气息和香水气味会分离，而是非常贴合，与体香浑然一体，这个是我最喜欢的！我最爱的香之一...,好看的优雅香水！我喜欢这款的造型。...,香水很特别，无论是味道还是感觉，就是赞！...,香水带给人们的感觉很微妙，心情不好我就会晒点香水，闻香识女，这话说的太好了，每次总会特别留意擦了香的女人。...,不会买了，很一般..."
992,"用了很惊喜...,挺好的...,我很喜欢...,让人沉醉迷恋的香氛，就是鼻尖的享受！...,香水的味道很好闻，让人觉得很舒适。...,没什么感觉...,这款香水是受同学的影响买的，当时闻到的是尾调的香味，觉得特别的清香，脑子一热就马上买了，真是后悔啊，拿到香水后就狂喷，当时觉得那个味道冲啊，难受的不得了，赶紧把喷了香水的衣服脱了，等到浓味过了很久才敢...,当时买来送妈咪的，她比较喜欢~ 适合成熟女性的香味，年轻女孩子可以考虑别的....,这个香水， 不同年龄段的女人， 能闻出不一样的味道来。 我就觉得甚至带着一些小清新。...,蛮甜的不过不会很腻属于比较耐闻的甜调很想回购的但是留香比较短不过貌似annasui跟ck的留香都不会很长基本上几个小时就需要补喷了可四我基本上木有补喷介种好习惯..."
993,"用了很惊喜...,不喜欢...,没啥作用...,后味很甜，也是淡淡的，但持久度还不错。涂在手腕上面，第二天衣服袖子还有它的香味。...喷头的设计非常精密，按下去的手感很轻盈，弹性有力复位快，而且喷出的香水也很适量，不多不少，细密而集中.....,差点意思...,还不错...,这款香水是情人节收到的礼物，感觉包装真的很好看，很有气质的感觉。而且它的香味很持久，如果喷上它可以维持很久呢，味道也很好闻，淡淡的不冲鼻，蛮喜欢的。...,没有试过这个牌子的香水，在香港代购得到的，100ml很大一瓶啊，一开始感觉味道有些刺鼻，后调又有一些甜蜜，不知道什么时候能用完呢~~...,超喜欢，味道比较中性，喜欢冬天的时候往衣服上喷一点，冬天的大衣没有天天洗，你可以从衣服上清楚地闻到分辨到前味中味后味……后味留香持久，余韵悠长……两周不洗，两周都能闻到后味。...,香水的味道很好闻，让人觉得很舒适。..."
996,"回忆的味道，以前在美国读高中的时候买的，美国卖挺便宜。没什么历练的的味道。比较甜，小女生也可以驾驭。稍微有点大众。..., 看见蛮多人赞，价格也很便宜，就去拿了一支。   很多人说瓶子很难看，其实还好啦，真正看着也挺精致的。   味道属于清香，喜欢清香的人应该觉得比较特别，   但是我自己闻着晕晕的。持久度一般 ...,不是那么的好用...,香水的味道很好闻，让人觉得很舒适。...,让人沉醉迷恋的香氛，就是鼻尖的享受！...,超喜爱这个味道，女士香氛中最爱这一款。...,挺好的...,看起来不错！一定要试一下！...,
	感觉属于比较甜的香水儿 最关键的是每次抹了出去总会有蜜蜂围着我。。。


	隔断时间喷下感觉还不错 瓶子是真的有点丑

...,用起来还行..."
1001,"我很喜欢...,很好 推荐给大家...,用起来非常舒服，我是敏感型肤质，但是一点都不刺激。相反还非常温和，脸部感觉很温柔。用下来蛮好的，用好了估计还会买的！...,颜色味道都很清浅，擦在脸上很快就被吸收，晚上用了之后，早上起来脸上一点都不油，而且肌肤润滑，紧紧的。...,第一次使用凯娜诗这个牌子的产品，感觉很不错，期待后续完美效果。会上来向JMS报告战果啦！...,肌肤从未有过的柔软、细腻、滋润、肌肤肤色变得匀净，有光彩！...,痘肌大作战，油性肌肤爱用品分享心得，摆脱痘痘困扰，祛痘从基础护肤开始。任何护肤品都得试用后辨好坏，使用凯娜诗卓越晚间保湿精华一周后效果还是令人很满意哒！使用前脸部皮肤干燥暗沉、伴有痘印烦恼；连续使用一...,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，凯娜诗卓越晚间保湿精华天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且不油腻...,用后感觉皮肤紧致细腻，香味也不冲，但同样混合性皮肤只能秋冬季用，价格挺贵的 相当不错！有好感，会再买来用哦！...,肤质得到前所未有的改善，触感细腻柔滑，肤色纯净匀亮，由内而外绽放于生俱来的肌肤之美。..."
1002,"我很喜欢...,朋友送的...,凑合，感觉不错...,乳霜质地，延展性很好，滋润度也很高，尤其适合秋冬季节使用，如果是油性皮肤的话最好还是回避一下。...,用的时候要多按摩几下，有段时间皮肤过敏超级干燥，还长痘，涂得厚厚的在睡觉，第二天起来皮肤大大改善，很惊喜。...,向大家推荐一款平价又好用的凯娜诗日间防晒保湿霜SPF 50，性价比很高，效果绝对可以媲美大牌。...,滋润度不够，尤其是冬天，香味还不错，比较清新淡雅。干燥天气绝对不适合，不会再买了...,看了包装才买的...,很温和，一点也不刺激，保湿效果也很好，用后很舒服，吸收很好...,正在用，每天起床时感觉皮肤很光滑，气色很好的样子。..."
1003,"灰常好...,赞一个...,好...,延展性很好，很滋润，保湿效果好。...,非常好用的乳液，吸收很快，很温和的一款产品，很喜欢。...,喜欢这个牌子的很多东东。...,相当不错！有好感，会再买来用哦！...,很水润，适合这样干燥的季节来呵护皮肤。...,让皮肤水嫩起来...,一起买的水和乳，配合在一起使用。我是混合性皮肤，T区有油，脸部有点干。这款乳液比较好吸收，用量也省，。刚开始擦的时候比较滋润，到了下午脸摸起来就不是那么光滑了。总体感觉洋溢度上还可以。，..."
1004,"一直在用这款...,非常好...,挺好的...,第一次使用凯娜诗这个牌子的产品，感觉很不错，期待后续完美效果。会上来向JMS报告战果啦！...,对于我这样的偏敏感肤质没有任何刺激，觉得挺安全的，他的活肤效果不错，用完后皮肤你柔嫩，滑滑的挺滋润的，应该是有抗皱的作用。...,说到面膜，大家肯定用过不少了吧。 现在的生活压力大，不少人常常为了工作或者其他的熬夜通宵。 这时候，最需要的就是一款可以补救的面膜。 睡眠面膜就是这时候需要的，在睡觉的时候敷上面膜，醒来后皮肤变得明亮水嫩...,发发一些正在使用的精华护肤产品，小白鼠各种试用，总结最好的经验给大家。...,用起来比较舒服，不会觉得干燥或是油腻的好产品！...,用过一瓶，感觉非常好！用手触摸就像婴儿般的肌肤，丝绸般的感觉！...,肌肤从未有过的柔软、细腻、滋润、肌肤肤色变得匀净，有光彩！..."
1006,"吸收起来真的很快，按摩了几下，皮肤就完全吸收，过程很是舒服，整个皮肤都放松下来，而且清爽无油腻感，毛孔都张开了一般，非常舒适。...,挺好的...,没事就擦擦还是挺好。...,相当不错！有好感，会再买来用哦！...,护肤必不可少的宝贝，让你全身都滋润得不得了。...,真的好用.使用前脸两旁因为过敏﹐而且太干﹐所以起了红点.用了几个品牌连全能的都用了﹐还是不行.看到这么多水水推荐﹐所以去败了一瓶....,乳液可以涂抹全身，吸收得挺快，不会黏黏的，而且挺滋润的。涂上去像水一样，清清凉凉。吸收得特别快，润滑润滑。...,很水润，适合这样干燥的季节来呵护皮肤。...,虽然是乳液，但是滋润效果很好。可能是冬天用的缘故，刚用完后就觉得皮肤很滋润细腻，上妆也更容易了。连续使用后，皮肤真的比以前更加白皙光泽，脸上的一些斑点也都淡化了。...,真的很好，周围的人都力挺的宝贝哦！..."
1007,"缔造紧致光滑的细致眼周肌肤。...,看广告心里长草买的，还不错。...,一开始用觉得很一般，现在很喜欢。...,一直以来女人最怕的就是时间，年龄到了一定的岁月就会露出痕迹。为了对抗地心引力用尽了各种办法，但最终效果，最有效的还是他莫属！...,去脂肪粒很好，我脸上长了好多脂肪粒用了一瓶退了好多，眼霜用来搽脸是不是很奇怪，那是美容师教的，很管用哦！比大牌的有过之而无不及啊，一定会多跟朋友推荐。...,不油腻，除了对淡化黑眼圈和眼袋有比较明显的效果.丰润丝滑质地，为眼周纤弱肌肤特别定制，瞬间吸收，带来持久舒适感...,还OK啦，无功无过...,还可以的...,在洗脸后第一步缓解干燥，舒缓眼部压力随着轻柔按摩使眼部肌肤得到放松...,很清爽。对黑眼圈也有一定效果，简单眼部护理的不二选择。..."
1008,"非常好...,顶这款...,听朋友介绍的...,感觉这款精华液最能表过我对妈妈的爱。妈妈为我操劳了大半辈子，脸上年轻已不再，这款精华液能让皮肤细胞活力再生，让妈妈不再衰老，永远年轻美丽。...,不刺激皮肤，吸收也很好帮助肌肤抵御岁月流逝，惊现难以置信的改变。丝般顺滑的质地与轻盈水润的触感，却蕴含无限生机，抗击外界环境的侵害的同时修复过往损伤，并预防肌肤衰老。...,用了不会很腻，也不会油油的。一点点就可以涂一张脸了，保湿滋润效果很好，也很好吸收。...,这款口碑不错的...,补水效果非常好，对改善肤色也有帮助，特别是我这种皮肤暗黄处于亚健康肤色的人群。...,我的肌肤很干燥，使用这款精华后，感觉肌肤真的好润好滑，非常细嫩了，不愧为大牌呀！...,用着稍微有点干，保湿滋润度稍微逊色一些，美白嘛我个人觉得是有一点的，用了快3个月了，还是可以感到脸上肤色的一些变化的，这个用量挺费的，每次都感觉像擦不够的似的，每次就多涂一些，所以就费了啊！..."
1009,"很赞...,就用这个一直都是...,真好，不错...,质地很好涂抹，用起来有提亮肤色作用。...,挺好的...,不推荐...,清洁得很干净，且不会觉得过分干燥，用起来觉得很舒服。用过之后觉得黑头也似乎减少了一点。...,原本我洗脸会在洗面奶里参入珍珠粉，但这款参入珍珠粉后，腻腻的摊不开的感觉。...,泡沫细腻丰富，洗得也干净。...,一般，还行..."
1010,"很赞...,没事就擦擦还是挺好。...,真的很好，周围的人都力挺的宝贝哦！...,能快速改善肌肤干燥，暗哑情况，同时还能为肌肤保鲜。...,我夏天算混皮，T区爱出油，刚涂上就觉得很闷很闷，到后来直接可以在擦汗的时候搓泥搓下来，最后我受不了了干脆全部搓泥搓下来了。之前我在身上用过几次，有点搓泥，没有想到这么严重，剩下的全涂身上了...,没用过这么难用的...,补水保湿效果极佳，涂完以后即刻就能感觉到肌肤变得非常柔滑细腻，水润Q弹。有效滋养肌肤，增加肌肤弹性使肌肤盈润饱满。使用一段时间后，肌肤变得非常细嫩柔滑，水润富有弹性，紧致了一些。...,当时就觉得很适合我的干皮，清爽，滋润，事实也是如此，乳液很稀，放到手上是会流动的，清雅的香味，挤上两个黄豆的量就可以了，轻轻的按摩到脸上，很快就会被吸收，..展开刚涂上去会有点粘粘的，但是几分钟后，在摸...,白皙肌肤...,延展性很好，很滋润，保湿效果好。..."
1011,"贵公司香水产品 侵犯 水中花商标权，请尽快去除水中花香水字样   18248888509...,大家好才是真的好...,特别喜欢的香水，喷在衣服上能维持很久，衣服洗了有时候还会有香味。尾调更好闻，让人着迷。...,一闻到它的清新怡人的香味就爱上了，有一种淡淡的优雅的感觉，瓶子也很漂亮呢~~...,味道不错，挺小女人的，就是留香不是很久，只有半天吧，遗憾！瓶子也很好看。...,一般，还行...,留香不是那么持久，但本来就是淡香水嘛...,香水外国牌子多，而且瓶子上功夫都下不少，非凡的精致、漂亮。 光瓶子就让人喜欢得不得了。还没有用过香水呢，不知道到底有什么效果。 期待！...,还是一见钟情喜欢的感觉和味道，大气但是有点女人味的感觉，留香时间很长，时间越长越淡雅，好评啊！...,用了感觉不错..."
1012,"非常好...,持续时间很长，很耐用。...,很喜欢这款产品，经常见到这个品牌的香水。...,看起来不错！一定要试一下！...,超喜爱这个味道，女士香氛中最爱这一款。...,香水的味道很好闻，让人觉得很舒适。...,没那么好用...,一般般吧...,我很喜欢...,丝芙兰专柜买的，当时纠结了好久买哪个牌子哪款。和男朋友同时对这款一见钟情。可以说，是我用到现在最喜欢的一个味道。..."
1013,"力挺这款...,用了感觉不错...,还行吧...,很喜欢这款产品，经常见到这个品牌的香水。...,凑合，感觉不错...,用起来还行...,香水的味道很好闻，让人觉得很舒适。...,很喜欢它的香味，不喜欢太浓香水味的女士可以买一支试试，很值得推荐的。闻闻就觉得很舒服，给人一种自由的感觉，哈哈哈哈，我喜欢用这个香水。我男友用另外一个的。...,香水带给人们的感觉很微妙，心情不好我就会晒点香水，闻香识女，这话说的太好了，每次总会特别留意擦了香的女人。...,打开以后，那种香味就深深的烙印在了我的脑中。初闻味道比较浓烈，不过不会说是浓郁的让人难受，反而是一种让人充满朝气、活力十足的感觉。..."
1014,"香甜果香，安娜苏留香最长的香水，可爱，甜甜的感觉，味道很奇异，留香是娃娃系列最长的。价格贵，总体来讲性价比不高，但喜欢味道的话，还是可以买的。...,年轻的花果味儿，留香程度还挺好。但是实在不知道是什么原因晕香了。有点儿腻味……转手给了个妹子，她很快又转手了。不过这款价格便宜，也就算了~对于没什么特别要求的姑娘，还是可以入的。...,支持一下...,朋友送的...,香水很特别，无论是味道还是感觉，就是赞！...,看起来不错！一定要试一下！...,持续时间很长，很耐用。...,他的味道我很喜欢，我的好多朋友都说很好闻呢。...,好像我以前买的Kenzo样年华淡香水，那款香水也一直闲着呢，不过中后味比较喜欢，不甜，淡淡的稳重的感觉。留香时间不是很长几个小时有吧。不过还是很喜欢的，比起之前买的冷水和范思哲粉晶各有千秋吧。冷水的另类，粉...,让人沉醉迷恋的香氛，就是鼻尖的享受！..."
1015,"看起来不错！一定要试一下！...,让人沉醉迷恋的香氛，就是鼻尖的享受！...,很小女生啊，很甜美的感觉，味道不会太浓烈,所以留香也不会很长，不过这点很适合我，只要淡淡的就好，很喜欢....,蛮甜的不过不会很腻属于比较耐闻的甜调很想回购的但是留香比较短不过貌似annasui跟ck的留香都不会很长基本上几个小时就需要补喷了可四我基本上木有补喷介种好习惯...,还可以的...,这款香水妈妈在用，感觉真心好闻，我偶尔也会喷一喷，很喜欢他的味道，尤其是前调的香味，留香很持久，很赞。...,这款香水如果给我的感觉，就好像一个漂亮的女孩，穿着碎花的长裙，奔跑在开满鲜花的草地，欢快的笑声给我留下了美好的记忆。...,超级喜欢。也推荐同事用了。通过含蓄清新的香气来表达自我.她的优雅个性纯粹而真实,而平衡的象征令人联想起她高贵和谐的精神.她的妩媚女性气质从含蓄感性中自然流露...,味道不错，挺小女人的，就是留香不是很久，只有半天吧，遗憾！瓶子也很好看。...,三年前开始使用，气味清新，香而不腻，味道非常有质感，特别适合活泼，清爽，有格调的女孩子，开始喷上去味道会有一些浓，大概过半个小时，味道就非常适中了，香味持久度还可以了，一般上班前喷两下，下班的时候还有..."
1016," 偶然听说美白牙齿效果很好，偶然和朋友闲聊起来，居然大家都知道，于是就在天猫店下单了。      价格有点小贵，官方说法是每天用，刷牙后半小时才能用，贴半小时后取下。我是一周用一次，因为实在懒。      酸倒还好...,万宁买的 除了牙酸没啥别的感觉 无功无过吧...,用剩四片就懒得在用了，不过 真的有变白，刚开始两天不觉得酸，后来 就开始酸了，虽然只是微酸，但还是觉得 难受，所以就没坚持用完，但是效果还是 有一些的，感觉牙齿变白变均匀了一些。 以前牙齿颜色有些不均...,需要参加聚会的救急必备品，佳洁士品牌的东西价格都比较实惠，30分钟显著快速美白，可以驱除牙齿的各种污垢。不用有所顾虑，自由自在的笑，让我时刻绽放迷人笑容。...,结婚前用的。白是白点。可是感觉腐蚀牙齿表面。不敢再用了...,这款牙贴的美白效果很不错，但是会使牙齿敏感，就是感觉牙齿里面好像掏空一样一冷一热会刺激...,哈哈 超级喜欢的 真的会变白的牙贴 之前买了一个冷光仪器感觉里面的味道和牙贴是一样的啊 据说贴一晚上牙第二天特别白 不过会很酸痛 紧急美白的好方法，如果没效果的 建议去洗次牙...,疼。也不是疼。就是牙敏感那种感觉你造嘛！！上下排牙一起是不是的窜一下的疼你造吗！~我对自己说是你太不能忍了！！为了美这点疼痛算什么么！可是那种牙疼不是病疼起来要命的感觉你造吗！！！奉劝不喜欢忍受的同学不...,很好 推荐给大家...,非常好..."
1030,"　　呵呵你要说别的我不知道，但说到祛斑我可以给你推荐菲泊丝丽，嘿嘿，它让我从一个满脸祛斑没信心的女孩，变成现在脸上光滑美白而具有弹性，而且这是在我没用护肤品的情况下，可想而知它的效果如何。...,一直在用，非常好...,真好，不错...,支持一下...,挺好的...,最近正在使用华纳制药行美HT维他命E美容精华素，特喜欢华纳制药家族护肤品，每一款都很有针对性，特别给力。非常适合25岁左右及40岁以下的女性使用。...,说到面膜，大家肯定用过不少了吧。 现在的生活压力大，不少人常常为了工作或者其他的熬夜通宵。 这时候，最需要的就是一款可以补救的面膜。 睡眠面膜就是这时候需要的，在睡觉的时候敷上面膜，醒来后皮肤变得明亮水嫩...,凑合用着...,保湿效果一般，抗皱效果基本没有，有一定的嫩肤效果，美白效果一般，我是混合性皮肤，觉得第二天早上有点小油...,一般般的东东..."
1031,"支持一下...,挺好的...,一般般吧...,好...,挺好的...,第一次用，不知道怎么样...,没有说的好...,还行吧..."
1032,"我用着效果不好，感觉太润了...,挺好的...,一般般吧...,我很喜欢...,大爱他家的东西...,香味不纯，有活动会买，没有活动就不回购了...,还可以的...,还不错...,先用着，不会再买...,我的指甲表皮老是硬硬的而且爱长倒刺，摸着很不爽的说，herome的东西比opi的便宜，在欧洲也很多人用，所以就买了，在外面没事的时候就拿出来用一下，挺方便的，滋润效果也很不错，因为新出了一个霜类的就换用那个了。..."
1033,"相信群众的眼光...,支持一下...,赞一个...,我用过精华液真的不错哦，不防也来试试吧！...,平时上班总化妆，工作也劳累，晚上更要利用时间好好滋补一下，不做懒女人是我的宗旨，爱美，一直在路上。...,华纳制药这个牌子的产品一直是我的最爱啦！我一直是它的忠实粉丝，多年来一直坚持购买使用，肌肤的状况真是保持的很好啊！都说世界上没有丑女人只有懒女人，当然，选对适合自己的品牌就显得尤为重要啦。...,肌肤柔润、光滑、弹性、维持肌肤年轻。不粘黏，轻拍几下后就迅速吸收了。皮肤摸起来润滑看起来喝饱水一样饱满了。不是效果很不错肌肤变得弹滋润饱满。...,没用过，但是听评价非常之高，一直在找一款美白及改善肤色的精华液。...,总体来说不错，很耐用，味道也是很淡。每次只用一点点，就可以有薄透无暇的肌肤，效果非常自然......,效果真的是更加好了！滋润的水使得刚洗完脸的皮肤不再紧绷。再用上精华，水水的感觉，一点也不油腻。..."
1034,"大力推荐...,一直在用，非常好...,凑合用着...,平平吧...,没有感觉...,赞一个...,搞活动会买的，平时不会买...,不喜欢...,放弃了 没什么效果...,用了感觉不错..."
1035,"洗了几次很惊艳，一点也不刺激眼睛，洗了头发柔柔的，而且明显掉头发少了。味道也是很美！ 搜索了下，这个牌子使法国著名药妆...,特别喜欢这个...,还会回购的...,顶这款...,挺好的...,我同事和我一起买的，头发很长，用后说不吸收，我却觉得非常不错，首先我的发质的确有变好了...,味道很喜欢，剪了短发，睡醒发尾会毛糙，但是只要用来这个润发乳在发尾，第二天头发明显柔顺很多，又不会很油腻，比较推荐...,味道一般般啦，效果还不错，主要是用在中下段，用完就不会觉得发梢毛糙了。...,好用哦，特别好用，也不贵，适合每天使用，每次用后秀发得到特别保护没有丝毫沉重感，更加柔软，顺滑，光艳充满活力。洗完头发后，用毛巾将头发抹干，取适量的护发露轻轻地按摩到头发上，稍稍停留会儿，最后加点水令...,用了那么多年，真心的觉得很好，头发也改善了不少。..."
1036,"质地很水润，美白肌肤效果很好啊，清爽不刺激肌肤，温和补水效果很好啊，紧致肌肤效果也不错啊。...,一直对植物系护肤品感兴趣，误打误撞在淘宝买了这瓶水，在手上试的时候没太多感觉，上脸后感觉刺激多了，喷上去红血丝都出来了，还有一种烧灼感，用过很多牌子的爽肤水第一次出现这种情况呢，现在我也不敢用在脸上了...,很赞...,这个是我买干细胞精华和面霜送的小样 味道真心怪异 连我这种对味道很不在意的都觉得受不了 不知道为什么有人说有淡淡清香 狂汗``不过 确实是纯天然的 因为无添加 所以味道不好闻...,味道很清香的，很容易吸收，保湿补水也可以，美白效果也很好。...,发发一些正在使用的化妆水护肤产品，小白鼠各种试用，总结最好的经验给大家。...,挺好的...,非常水润，吸收快。很适合中性和混合性的皮肤，也很适合油皮妹妹在夏天使用。...,控油效果真的不错哦，只是冬天用的话有点干，所以冬天只用在T区，很舒服，而且有收紧毛孔的感觉。...,这个产品真不知道该怎么说，因为是护肤的，效果也是要看长久用下来怎么样，才用了几天明显改善肌肤松弛干燥，晦暗，肤色不均匀的现象，个人感觉是挺好的，用完了还会买的......"
1037,"力挺这款...,挺好的...,跟风买的...,发发一些正在使用的精华护肤产品，小白鼠各种试用，总结最好的经验给大家。...,保湿效果特别好的一款精华，本来我的皮肤就十分的干和紧绷啦，用这款精华真的滋润了很多，皮肤看起来都是水润的效果，强力推荐...,最近正在使用果漾美人干细胞肌活修护精华素，特喜欢果漾美人家族护肤品，每一款都很有针对性，特别给力。非常适合25岁左右及40岁以下的女性使用。...,感觉冬天用会很好，用着感觉很清爽不油腻，很舒服，皮肤也很有光泽，性价比很高...,涂抹时，却可以感觉精华露的延展性很好，瞬间也变得不是那么厚重，比较轻薄，精华很好吸收，涂抹片刻就基本上被皮肤吸收了。...,质地比较清透保湿锁水效果很好啊，滋润紧致肌肤收缩毛孔...,再也不用了..."
1038," 最近在用法国护蕾的保湿乳霜，口碑很好的一款乳霜，主要配方是凡士林和甘油，简单温和滋润孕妇和婴幼儿都可以用，本来是买给我儿子擦滴试了一下香香不错哦，味道香香甜甜的擦脸、擦手、擦全身都很舒服，保湿锁水效果...,这个不错的...,真的好漂亮，好精致。赞一个。...,用了很惊喜...,力挺这款...,没什么优势的感觉...,可以让我们的皮肤持续的保湿，它的质地也非常的温和，适合全家人一起用...,凑近闻闻，还真的一点味道都没有呢，我还真怕太香的东西，平常挑护肤品时都会选淡香型的。...,质感清爽薄贴，透亮不泛白，使用时柔滑易推，产品加入抗氧化成分，有效抵御肌肤色斑、晒黑等情况产生，且不易受汗水、油脂影响，适合日常外出或户外活动的人们使用。...,刚开始使用，我是油性肌肤，感觉质地特别的轻薄，并且挺滋润的还有修正肤色的作用。东西真心是不错，皮肤比之前细嫩亮多了攒一个！..."
1039,"魅力惠购买眼霜时送的小样，味道实在不敢恭维，粗闻有一种放了很久的油的味道，细闻之下又有一种怪怪的果香。。。难道小样是假的？还是过期的？反正绝对不会购买正装。。...,用了感觉不错...,支持一下...,这款口碑不错的...,挺好的...,我很喜欢...,不喜欢...,发发一些正在使用的乳液护肤产品，小白鼠各种试用，总结最好的经验给大家。...,能快速改善肌肤干燥，暗哑情况，同时还能为肌肤保鲜。...,痘肌大作战，油性肌肤爱用品分享心得，摆脱痘痘困扰，祛痘从基础护肤开始。任何护肤品都得试用后辨好坏，使用果漾美人清爽无油保湿乳一周后效果还是令人很满意哒！使用前脸部皮肤干燥暗沉、伴有痘印烦恼；连续使用一..."
1040,"滚珠设计很不科学，液体很难流出来，有的时候又流太多了。用过以后就觉得针对青春痘完全没用...,感觉不大...,就用这个一直都是...,果漾美人这个牌子的产品一直是我的最爱啦！我一直是它的忠实粉丝，多年来一直坚持购买使用，肌肤的状况真是保持的很好啊！都说世界上没有丑女人只有懒女人，当然，选对适合自己的品牌就显得尤为重要啦。...,没有感觉...,有一定舒敏的效果，敏感肌肤适合用的，用了一段时间，感觉皮肤平滑了一些，就是摸着好像细嫩了一些，有点小小的改变吧...,没有什么紧绷的感觉，淡淡的味道很好闻，目前一直在用夏季用这个产品很舒服，滋润不油，挺不错的.....,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，果漾美人净透无暇精华棒天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且不油腻...,很基础吧...,还能接受，一般吧..."
1043,"我相信口碑...,看介绍说可以改善泛红就买来试试，而且说是有机的。怎么说呢，这款精华挺保湿的，我用的时候就是洁面然后涂上这款精华，然后一点都不干。但是舒缓感觉不大，泛红什么的没觉得改善。...,喜欢这个品牌...,感觉不大...,大力推荐...,发发一些正在使用的精华护肤产品，小白鼠各种试用，总结最好的经验给大家。...,果漾美人这个牌子的产品一直是我的最爱啦！我一直是它的忠实粉丝，多年来一直坚持购买使用，肌肤的状况真是保持的很好啊！都说世界上没有丑女人只有懒女人，当然，选对适合自己的品牌就显得尤为重要啦。...,很容易涂抹开，一边抹开一边就吸收了，产品吸收很快，吸收也很好。用后肌肤看上去很滋润、饱满，摸上去比较细腻、滋润，肌肤感觉滋润而清爽。...,用完肌肤感觉滋润饱满不油腻，而且肌肤变得有光泽，后续使用面霜也能很好锁住精华，推荐很好用！...,跟风失败了..."
1044,"酸酸的水果味，用起来很清爽，抗氧化效果不错！...,赞一个...,非常好...,很稀薄的乳液质地，有一股炖肉汤时问到的腥气，用完就还蛮想吃肉的。...,有一点chemicals的味道，不过我对味道不太picky。水乳状，上脸很水，不粘腻，吸收挺快（或者说挥发挺快。。。）anyway, 看看长期效果吧。其实有点担心会过敏，初用没事，希望后续效果更惊艳！...,大力推荐...,很赞...,第一次使用果漾美人这个牌子的产品，感觉很不错，期待后续完美效果。会上来向JMS报告战果啦！...,发发一些正在使用的精华护肤产品，小白鼠各种试用，总结最好的经验给大家。...,说到面膜，大家肯定用过不少了吧。 现在的生活压力大，不少人常常为了工作或者其他的熬夜通宵。 这时候，最需要的就是一款可以补救的面膜。 睡眠面膜就是这时候需要的，在睡觉的时候敷上面膜，醒来后皮肤变得明亮水嫩..."
1045,"用起来还行...,凑合，感觉不错...,特别喜欢这个...,挺好的...,我很喜欢...,用了这个香味的护体乳就不用香水了，不紧滋润，而且香味也异常的迷人...,其实我对身体乳啊手霜什么的要求很低的，香味OK使用感可以我就满意了。不过这个身体乳的确是很一般啊...,以前我只注重脸部的保养，当我看到脖子上开始有颈纹的时候，才发觉自己忽略了多么重要的事，赶紧采取行动！的滋润效果不错，虽然去皱效果不明显，但只要能维持现状，我就知足啦！...,每年到冬天我的腿就干的起皮，今年从秋天开始用这个，不知道会不会改善。...,味道很好闻，但是呢，不是太好吸收，有点油的感觉，不太适合油性皮肤，现在放在办公室里当做护手霜用了。..."
1047,"无泡的，洗后不涩，也不像传统的膜感，但是我感觉有点点wax的感觉，千万不要被wax吓到，我也描述不出这是一种什么感觉，但是不会感觉闷和堵啦～看MUA上的有些评价说这款洗着会刺痛，我倒完全没有觉得。对干皮来说是一...,这款是无泡的洁面产品，质量很不错，加水之后基本没什么泡沫，没有刺激感，味道很好闻，是水果香味，干皮比较适合这款，作为晨洗还是可以的。...,顶这款...,二合一的效果就是清洁力不够，爽肤效果也见不到，味道很诡异，这个产品应该停产了，亲...,很棒的产品，推荐...,    爱这个牌子就是因为它的天然，无刺激。现在要找这样的产品真的是很难。这款洁面乳是滋养、保湿、卸妆、抗氧化四效合一的温和洁面乳。如丝般温和清洁肌肤，帮助肌肤恢复水润光彩！ 无皂质配方，如丝般温和，瞬间、...,    爱这个牌子就是因为它的天然，无刺激。现在要找这样的产品真的是很难。这款洁面乳是滋养、保湿、卸妆、抗氧化四效合一的温和洁面乳。如丝般温和清洁肌肤，帮助肌肤恢复水润光彩！ 无皂质配方，如丝般温和，瞬间、...,朋友送的...,在面部停留足够的时间，充分打圈按摩。...,发发一些正在使用的洁面护肤产品，小白鼠各种试用，总结最好的经验给大家。..."
